AA's Cuurent Health Status is ->0%CC's 
Cuurent Health Status is ->60%
DD's Current Health Status is ->0%
EE's Current Health Status is ->20%
LR's Current Health Status is ->100%
null's Current Health Status is ->60%
Amar's Current Health Status is ->20%
Old1's Current Health Status is ->20%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->20%
null's Current Health Status is ->20%
null's Current Health Status is ->40%
null's Current Health Status is ->20%
new's Current Health Status is ->0%
null's Current Health Status is ->20%
one's Current Health Status is ->0%
two's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->20%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->100%
null's Current Health Status is ->0%
null's Current Health Status is ->0%
null's Current Health Status is ->40%
null's Current Health Status is ->100%
null's Current Health Status is ->0%
Sundaram's Current Health Status is ->0%
Satyam's Current Health Status is ->50%
Shivam's Current Health Status is ->40%
null's Current Health Status is ->10%
null's Current Health Status is ->50%
null's Current Health Status is ->10%
HOD's Current Health Status is ->60%
Pritam's Current Health Status is ->0%
Demo1's Current Health Status is ->0%
ani's Current Health Status is ->0%
Student2's Current Health Status is ->20%
Admin's Current Health Status is ->20%
Pritam's Current Health Status is ->90%
Pritam's Current Health Status is ->100%
Pritam's Current Health Status is ->0%
null's Current Health Status is ->0%
